Infinitive,раски́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раски́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раски́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раски́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раски́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раски́ну
2nd Sing,раски́нешь
3rd Sing,раски́нет
1st Pl,раски́нем
2nd Pl,раски́нете
3rd Pl,раски́нут
Past M,раски́нул
Past F,раски́нула
Past N,раски́нуло
Past PL,раски́нули
Imp S,раски́нь
Imp PL,раски́ньте
