Infinitive,разреша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разреша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разреша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разреша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разреша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разреша́юсь
2nd Sing,разреша́ешься
3rd Sing,разреша́ется
1st Pl,разреша́емся
2nd Pl,разреша́етесь
3rd Pl,разреша́ются
Past M,разреша́лся
Past F,разреша́лась
Past N,разреша́лось
Past PL,разреша́лись
Imp S,разреша́йся
Imp PL,разреша́йтесь
