Infinitive,распредели́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распредели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распределённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распредели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распредели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распределю́
2nd Sing,распредели́шь
3rd Sing,распредели́т
1st Pl,распредели́м
2nd Pl,распредели́те
3rd Pl,распределя́т
Past M,распредели́л
Past F,распредели́ла
Past N,распредели́ло
Past PL,распредели́ли
Imp S,распредели́
Imp PL,распредели́те
