Infinitive,разрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разрыва́юсь
2nd Sing,разрыва́ешься
3rd Sing,разрыва́ется
1st Pl,разрыва́емся
2nd Pl,разрыва́етесь
3rd Pl,разрыва́ются
Past M,разрыва́лся
Past F,разрыва́лась
Past N,разрыва́лось
Past PL,разрыва́лись
Imp S,разрыва́йся
Imp PL,разрыва́йтесь
