Infinitive,рази́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рази́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рази́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рази́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рази́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рази́ну
2nd Sing,рази́нешь
3rd Sing,рази́нет
1st Pl,рази́нем
2nd Pl,рази́нете
3rd Pl,рази́нут
Past M,рази́нул
Past F,рази́нула
Past N,рази́нуло
Past PL,рази́нули
Imp S,рази́нь
Imp PL,рази́ньте
