Infinitive,раска́яться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раска́явшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́явшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раска́юсь
2nd Sing,раска́ешься
3rd Sing,раска́ется
1st Pl,раска́емся
2nd Pl,раска́етесь
3rd Pl,раска́ются
Past M,раска́ялся
Past F,раска́ялась
Past N,раска́ялось
Past PL,раска́ялись
Imp S,раска́йся
Imp PL,раска́йтесь
