Infinitive,растолкова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растолкова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растолко́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растолкова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растолкова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растолку́ю
2nd Sing,растолку́ешь
3rd Sing,растолку́ет
1st Pl,растолку́ем
2nd Pl,растолку́ете
3rd Pl,растолку́ют
Past M,растолкова́л
Past F,растолкова́ла
Past N,растолкова́ло
Past PL,растолкова́ли
Imp S,растолку́й
Imp PL,растолку́йте
