Infinitive,разлепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разлепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разле́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разлепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлеплю́
2nd Sing,разле́пишь
3rd Sing,разле́пит
1st Pl,разле́пим
2nd Pl,разле́пите
3rd Pl,разле́пят
Past M,разлепи́л
Past F,разлепи́ла
Past N,разлепи́ло
Past PL,разлепи́ли
Imp S,разлепи́
Imp PL,разлепи́те
