Infinitive,распроща́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распроща́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распроща́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распроща́юсь
2nd Sing,распроща́ешься
3rd Sing,распроща́ется
1st Pl,распроща́емся
2nd Pl,распроща́етесь
3rd Pl,распроща́ются
Past M,распроща́лся
Past F,распроща́лась
Past N,распроща́лось
Past PL,распроща́лись
Imp S,распроща́йся
Imp PL,распроща́йтесь
