Infinitive,раствори́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раствори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раствори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,растворю́сь
2nd Sing,раствори́шься
3rd Sing,раствори́тся
1st Pl,раствори́мся
2nd Pl,раствори́тесь
3rd Pl,растворя́тся
Past M,раствори́лся
Past F,раствори́лась
Past N,раствори́лось
Past PL,раствори́лись
Imp S,раствори́сь
Imp PL,раствори́тесь
