Infinitive,разобра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разобра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разобра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разберу́сь
2nd Sing,разберёшься
3rd Sing,разберётся
1st Pl,разберёмся
2nd Pl,разберётесь
3rd Pl,разберу́тся
Past M,разобра́лся
Past F,разобрала́сь
Past N,разобрало́сь
Past PL,разобрали́сь
Imp S,разбери́сь
Imp PL,разбери́тесь
