Infinitive,развороти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,развороти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разворо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развороти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,развороти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разворочу́
2nd Sing,разворо́тишь
3rd Sing,разворо́тит
1st Pl,разворо́тим
2nd Pl,разворо́тите
3rd Pl,разворо́тят
Past M,развороти́л
Past F,развороти́ла
Past N,развороти́ло
Past PL,развороти́ли
Imp S,развороти́
Imp PL,развороти́те
