Infinitive,разволнова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разволнова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разволнова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разволну́юсь
2nd Sing,разволну́ешься
3rd Sing,разволну́ется
1st Pl,разволну́емся
2nd Pl,разволну́етесь
3rd Pl,разволну́ются
Past M,разволнова́лся
Past F,разволнова́лась
Past N,разволнова́лось
Past PL,разволнова́лись
Imp S,разволну́йся
Imp PL,разволну́йтесь
