Infinitive,растопта́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растопта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расто́птанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растопта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растопта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растопчу́
2nd Sing,расто́пчешь
3rd Sing,расто́пчет
1st Pl,расто́пчем
2nd Pl,расто́пчете
3rd Pl,расто́пчут
Past M,растопта́л
Past F,растопта́ла
Past N,растопта́ло
Past PL,растопта́ли
Imp S,растопчи́
Imp PL,растопчи́те
