Infinitive,разраба́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разраба́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разраба́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разраба́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разраба́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разраба́тываюсь
2nd Sing,разраба́тываешься
3rd Sing,разраба́тывается
1st Pl,разраба́тываемся
2nd Pl,разраба́тываетесь
3rd Pl,разраба́тываются
Past M,разраба́тывался
Past F,разраба́тывалась
Past N,разраба́тывалось
Past PL,разраба́тывались
Imp S,разраба́тывайся
Imp PL,разраба́тывайтесь
