Infinitive,раскопа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскопа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раско́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскопа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскопа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскопа́ю
2nd Sing,раскопа́ешь
3rd Sing,раскопа́ет
1st Pl,раскопа́ем
2nd Pl,раскопа́ете
3rd Pl,раскопа́ют
Past M,раскопа́л
Past F,раскопа́ла
Past N,раскопа́ло
Past PL,раскопа́ли
Imp S,раскопа́й
Imp PL,раскопа́йте
