Infinitive,разъедини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разъедини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъединённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъедини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разъедини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разъединю́
2nd Sing,разъедини́шь
3rd Sing,разъедини́т
1st Pl,разъедини́м
2nd Pl,разъедини́те
3rd Pl,разъединя́т
Past M,разъедини́л
Past F,разъедини́ла
Past N,разъедини́ло
Past PL,разъедини́ли
Imp S,разъедини́
Imp PL,разъедини́те
