Infinitive,раздви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздви́ну
2nd Sing,раздви́нешь
3rd Sing,раздви́нет
1st Pl,раздви́нем
2nd Pl,раздви́нете
3rd Pl,раздви́нут
Past M,раздви́нул
Past F,раздви́нула
Past N,раздви́нуло
Past PL,раздви́нули
Imp S,раздви́нь
Imp PL,раздви́ньте
