Infinitive,ра́доваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ра́дующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ра́довавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ра́дуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ра́довавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ра́дуюсь
2nd Sing,ра́дуешься
3rd Sing,ра́дуется
1st Pl,ра́дуемся
2nd Pl,ра́дуетесь
3rd Pl,ра́дуются
Past M,ра́довался
Past F,ра́довалась
Past N,ра́довалось
Past PL,ра́довались
Imp S,ра́дуйся
Imp PL,ра́дуйтесь
