Infinitive,раскуси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскуси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раску́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскуси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскуси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскушу́
2nd Sing,раску́сишь
3rd Sing,раску́сит
1st Pl,раску́сим
2nd Pl,раску́сите
3rd Pl,раску́сят
Past M,раскуси́л
Past F,раскуси́ла
Past N,раскуси́ло
Past PL,раскуси́ли
Imp S,раскуси́
Imp PL,раскуси́те
