Infinitive,разгне́вать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгне́вавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгне́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгне́вав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разгне́вавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгне́ваю
2nd Sing,разгне́ваешь
3rd Sing,разгне́вает
1st Pl,разгне́ваем
2nd Pl,разгне́ваете
3rd Pl,разгне́вают
Past M,разгне́вал
Past F,разгне́вала
Past N,разгне́вало
Past PL,разгне́вали
Imp S,разгне́вай
Imp PL,разгне́вайте
