Infinitive,разверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разверну́
2nd Sing,развернёшь
3rd Sing,развернёт
1st Pl,развернём
2nd Pl,развернёте
3rd Pl,разверну́т
Past M,разверну́л
Past F,разверну́ла
Past N,разверну́ло
Past PL,разверну́ли
Imp S,разверни́
Imp PL,разверни́те
