Infinitive,распеча́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распеча́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распеча́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распеча́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распеча́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распеча́таю
2nd Sing,распеча́таешь
3rd Sing,распеча́тает
1st Pl,распеча́таем
2nd Pl,распеча́таете
3rd Pl,распеча́тают
Past M,распеча́тал
Past F,распеча́тала
Past N,распеча́тало
Past PL,распеча́тали
Imp S,распеча́тай
Imp PL,распеча́тайте
