Infinitive,растеря́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,растеря́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растеря́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,растеря́юсь
2nd Sing,растеря́ешься
3rd Sing,растеря́ется
1st Pl,растеря́емся
2nd Pl,растеря́етесь
3rd Pl,растеря́ются
Past M,растеря́лся
Past F,растеря́лась
Past N,растеря́лось
Past PL,растеря́лись
Imp S,растеря́йся
Imp PL,растеря́йтесь
