Infinitive,разосла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разосла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разосла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разосла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разошлю́
2nd Sing,разошлёшь
3rd Sing,разошлёт
1st Pl,разошлём
2nd Pl,разошлёте
3rd Pl,разошлю́т
Past M,разосла́л
Past F,разосла́ла
Past N,разосла́ло
Past PL,разосла́ли
Imp S,разошли́
Imp PL,разошли́те
