Infinitive,разду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разду́мав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разду́мавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разду́маю
2nd Sing,разду́маешь
3rd Sing,разду́мает
1st Pl,разду́маем
2nd Pl,разду́маете
3rd Pl,разду́мают
Past M,разду́мал
Past F,разду́мала
Past N,разду́мало
Past PL,разду́мали
Imp S,разду́май
Imp PL,разду́майте
