Infinitive,разбира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разбира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разбира́юсь
2nd Sing,разбира́ешься
3rd Sing,разбира́ется
1st Pl,разбира́емся
2nd Pl,разбира́етесь
3rd Pl,разбира́ются
Past M,разбира́лся
Past F,разбира́лась
Past N,разбира́лось
Past PL,разбира́лись
Imp S,разбира́йся
Imp PL,разбира́йтесь
