Infinitive,разъяри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разъяри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъярённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъяри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разъяри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разъярю́
2nd Sing,разъяри́шь
3rd Sing,разъяри́т
1st Pl,разъяри́м
2nd Pl,разъяри́те
3rd Pl,разъяря́т
Past M,разъяри́л
Past F,разъяри́ла
Past N,разъяри́ло
Past PL,разъяри́ли
Imp S,разъяри́
Imp PL,разъяри́те
