Infinitive,разглаго́льствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разглаго́льствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разглаго́льствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разглаго́льствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разглаго́льствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разглаго́льствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разглаго́льствую
2nd Sing,разглаго́льствуешь
3rd Sing,разглаго́льствует
1st Pl,разглаго́льствуем
2nd Pl,разглаго́льствуете
3rd Pl,разглаго́льствуют
Past M,разглаго́льствовал
Past F,разглаго́льствовала
Past N,разглаго́льствовало
Past PL,разглаго́льствовали
Imp S,разглаго́льствуй
Imp PL,разглаго́льствуйте
