Infinitive,раздели́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разделю́сь
2nd Sing,разде́лишься
3rd Sing,разде́лится
1st Pl,разде́лимся
2nd Pl,разде́литесь
3rd Pl,разде́лятся
Past M,раздели́лся
Past F,раздели́лась
Past N,раздели́лось
Past PL,раздели́лись
Imp S,раздели́сь
Imp PL,раздели́тесь
