Infinitive,разбомби́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разбомби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбомблённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбомби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разбомби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разбомблю́
2nd Sing,разбомби́шь
3rd Sing,разбомби́т
1st Pl,разбомби́м
2nd Pl,разбомби́те
3rd Pl,разбомбя́т
Past M,разбомби́л
Past F,разбомби́ла
Past N,разбомби́ло
Past PL,разбомби́ли
Imp S,разбомби́
Imp PL,разбомби́те
