Infinitive,расцелова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расцелова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расцело́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расцелова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расцелова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расцелу́ю
2nd Sing,расцелу́ешь
3rd Sing,расцелу́ет
1st Pl,расцелу́ем
2nd Pl,расцелу́ете
3rd Pl,расцелу́ют
Past M,расцелова́л
Past F,расцелова́ла
Past N,расцелова́ло
Past PL,расцелова́ли
Imp S,расцелу́й
Imp PL,расцелу́йте
