Infinitive,разраста́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разраста́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разраста́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разраста́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разраста́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разраста́юсь
2nd Sing,разраста́ешься
3rd Sing,разраста́ется
1st Pl,разраста́емся
2nd Pl,разраста́етесь
3rd Pl,разраста́ются
Past M,разраста́лся
Past F,разраста́лась
Past N,разраста́лось
Past PL,разраста́лись
Imp S,разраста́йся
Imp PL,разраста́йтесь
