Infinitive,разде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разде́ну
2nd Sing,разде́нешь
3rd Sing,разде́нет
1st Pl,разде́нем
2nd Pl,разде́нете
3rd Pl,разде́нут
Past M,разде́л
Past F,разде́ла
Past N,разде́ло
Past PL,разде́ли
Imp S,разде́нь
Imp PL,разде́ньте
