Infinitive,расшата́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расшата́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расша́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расшата́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расшата́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расшата́ю
2nd Sing,расшата́ешь
3rd Sing,расшата́ет
1st Pl,расшата́ем
2nd Pl,расшата́ете
3rd Pl,расшата́ют
Past M,расшата́л
Past F,расшата́ла
Past N,расшата́ло
Past PL,расшата́ли
Imp S,расшата́й
Imp PL,расшата́йте
