Infinitive,рассе́сться
Zaliznyak Class,7a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассе́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассе́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расся́дусь
2nd Sing,расся́дешься
3rd Sing,расся́дется
1st Pl,расся́демся
2nd Pl,расся́детесь
3rd Pl,расся́дутся
Past M,рассе́лся
Past F,рассе́лась
Past N,рассе́лось
Past PL,рассе́лись
Imp S,расся́дься
Imp PL,расся́дьтесь
