Infinitive,разде́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разде́нусь
2nd Sing,разде́нешься
3rd Sing,разде́нется
1st Pl,разде́немся
2nd Pl,разде́нетесь
3rd Pl,разде́нутся
Past M,разде́лся
Past F,разде́лась
Past N,разде́лось
Past PL,разде́лись
Imp S,разде́нься
Imp PL,разде́ньтесь
