Infinitive,разду́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разду́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разду́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разду́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разду́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разду́ю
2nd Sing,разду́ешь
3rd Sing,разду́ет
1st Pl,разду́ем
2nd Pl,разду́ете
3rd Pl,разду́ют
Past M,разду́л
Past F,разду́ла
Past N,разду́ло
Past PL,разду́ли
Imp S,разду́й
Imp PL,разду́йте
