Infinitive,разува́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разува́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разува́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разува́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разува́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разува́юсь
2nd Sing,разува́ешься
3rd Sing,разува́ется
1st Pl,разува́емся
2nd Pl,разува́етесь
3rd Pl,разува́ются
Past M,разува́лся
Past F,разува́лась
Past N,разува́лось
Past PL,разува́лись
Imp S,разува́йся
Imp PL,разува́йтесь
