Infinitive,разбива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разбива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разбива́юсь
2nd Sing,разбива́ешься
3rd Sing,разбива́ется
1st Pl,разбива́емся
2nd Pl,разбива́етесь
3rd Pl,разбива́ются
Past M,разбива́лся
Past F,разбива́лась
Past N,разбива́лось
Past PL,разбива́лись
Imp S,разбива́йся
Imp PL,разбива́йтесь
