Infinitive,разли́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разолью́сь
2nd Sing,разольёшься
3rd Sing,разольётся
1st Pl,разольёмся
2nd Pl,разольётесь
3rd Pl,разолью́тся
Past M,разли́лся
Past F,разлила́сь
Past N,разлило́сь
Past PL,разлили́сь
Imp S,разле́йся
Imp PL,разле́йтесь
