Infinitive,распла́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распла́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распла́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распла́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распла́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распла́влю
2nd Sing,распла́вишь
3rd Sing,распла́вит
1st Pl,распла́вим
2nd Pl,распла́вите
3rd Pl,распла́вят
Past M,распла́вил
Past F,распла́вила
Past N,распла́вило
Past PL,распла́вили
Imp S,распла́вь
Imp PL,распла́вьте
