Infinitive,умере́ть
Zaliznyak Class,9b/c①
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уме́рший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умере́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уме́рши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,умру́
2nd Sing,умрёшь
3rd Sing,умрёт
1st Pl,умрём
2nd Pl,умрёте
3rd Pl,умру́т
Past M,у́мер
Past F,умерла́
Past N,у́мерло
Past PL,у́мерли
Imp S,умри́
Imp PL,умри́те
