Infinitive,умы́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,умо́юсь
2nd Sing,умо́ешься
3rd Sing,умо́ется
1st Pl,умо́емся
2nd Pl,умо́етесь
3rd Pl,умо́ются
Past M,умы́лся
Past F,умы́лась
Past N,умы́лось
Past PL,умы́лись
Imp S,умо́йся
Imp PL,умо́йтесь
