Infinitive,умира́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,умира́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умира́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умира́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,short
PART:3:Participle Text,умира́ючи
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,умира́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,умира́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,умира́ю
2nd Sing,умира́ешь
3rd Sing,умира́ет
1st Pl,умира́ем
2nd Pl,умира́ете
3rd Pl,умира́ют
Past M,умира́л
Past F,умира́ла
Past N,умира́ло
Past PL,умира́ли
Imp S,умира́й
Imp PL,умира́йте
