Infinitive,умудря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умудря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умудря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умудря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умудря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умудря́юсь
2nd Sing,умудря́ешься
3rd Sing,умудря́ется
1st Pl,умудря́емся
2nd Pl,умудря́етесь
3rd Pl,умудря́ются
Past M,умудря́лся
Past F,умудря́лась
Past N,умудря́лось
Past PL,умудря́лись
Imp S,умудря́йся
Imp PL,умудря́йтесь
