Infinitive,умоли́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,умоли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умолённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умоли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,умоли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умолю́
2nd Sing,умо́лишь
3rd Sing,умо́лит
1st Pl,умо́лим
2nd Pl,умо́лите
3rd Pl,умо́лят
Past M,умоли́л
Past F,умоли́ла
Past N,умоли́ло
Past PL,умоли́ли
Imp S,умоли́
Imp PL,умоли́те
