Infinitive,уме́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уме́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уме́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уме́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уме́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уме́рю
2nd Sing,уме́ришь
3rd Sing,уме́рит
1st Pl,уме́рим
2nd Pl,уме́рите
3rd Pl,уме́рят
Past M,уме́рил
Past F,уме́рила
Past N,уме́рило
Past PL,уме́рили
Imp S,уме́рь
Imp PL,уме́рьте
