Infinitive,умести́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,умещу́сь
2nd Sing,умести́шься
3rd Sing,умести́тся
1st Pl,умести́мся
2nd Pl,умести́тесь
3rd Pl,уместя́тся
Past M,умести́лся
Past F,умести́лась
Past N,умести́лось
Past PL,умести́лись
Imp S,умести́сь
Imp PL,умести́тесь
