Infinitive,умно́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,умно́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умно́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умно́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,умно́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умно́жу
2nd Sing,умно́жишь
3rd Sing,умно́жит
1st Pl,умно́жим
2nd Pl,умно́жите
3rd Pl,умно́жат
Past M,умно́жил
Past F,умно́жила
Past N,умно́жило
Past PL,умно́жили
Imp S,умно́жь
Imp PL,умно́жьте
