Infinitive,"уме́ньшиться, уменьши́ться*"
Zaliznyak Class,4a // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уме́ньшившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,уменьши́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уме́ньшившись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уменьши́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уме́ньшусь
2nd Sing,уме́ньшишься
3rd Sing,уме́ньшится
1st Pl,уме́ньшимся
2nd Pl,уме́ньшитесь
3rd Pl,уме́ньшатся
Past M,уме́ньшился
Past F,уме́ньшилась
Past N,уме́ньшилось
Past PL,уме́ньшились
Imp S,уме́ньшись
Imp PL,уме́ньшитесь
