Infinitive,умили́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умили́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умили́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,умилю́сь
2nd Sing,умили́шься
3rd Sing,умили́тся
1st Pl,умили́мся
2nd Pl,умили́тесь
3rd Pl,умиля́тся
Past M,умили́лся
Past F,умили́лась
Past N,умили́лось
Past PL,умили́лись
Imp S,умили́сь
Imp PL,умили́тесь
