Infinitive,умудри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,умудри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умудрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умудри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,умудри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умудрю́
2nd Sing,умудри́шь
3rd Sing,умудри́т
1st Pl,умудри́м
2nd Pl,умудри́те
3rd Pl,умудря́т
Past M,умудри́л
Past F,умудри́ла
Past N,умудри́ло
Past PL,умудри́ли
Imp S,умудри́
Imp PL,умудри́те
