Infinitive,ума́лчивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ума́лчивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ума́лчивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ума́лчивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ума́лчивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ума́лчивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ума́лчиваю
2nd Sing,ума́лчиваешь
3rd Sing,ума́лчивает
1st Pl,ума́лчиваем
2nd Pl,ума́лчиваете
3rd Pl,ума́лчивают
Past M,ума́лчивал
Past F,ума́лчивала
Past N,ума́лчивало
Past PL,ума́лчивали
Imp S,ума́лчивай
Imp PL,ума́лчивайте
