Infinitive,умиротворя́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,умиротворя́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умиротворя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умиротворя́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умиротворя́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,умиротворя́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,умиротворя́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,умиротворя́ю
2nd Sing,умиротворя́ешь
3rd Sing,умиротворя́ет
1st Pl,умиротворя́ем
2nd Pl,умиротворя́ете
3rd Pl,умиротворя́ют
Past M,умиротворя́л
Past F,умиротворя́ла
Past N,умиротворя́ло
Past PL,умиротворя́ли
Imp S,умиротворя́й
Imp PL,умиротворя́йте
