Infinitive,у́мничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,у́мничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́мничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,у́мничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,у́мничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,у́мничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,у́мничаю
2nd Sing,у́мничаешь
3rd Sing,у́мничает
1st Pl,у́мничаем
2nd Pl,у́мничаете
3rd Pl,у́мничают
Past M,у́мничал
Past F,у́мничала
Past N,у́мничало
Past PL,у́мничали
Imp S,у́мничай
Imp PL,у́мничайте
