Infinitive,умиля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умиля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умиля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умиля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умиля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умиля́юсь
2nd Sing,умиля́ешься
3rd Sing,умиля́ется
1st Pl,умиля́емся
2nd Pl,умиля́етесь
3rd Pl,умиля́ются
Past M,умиля́лся
Past F,умиля́лась
Past N,умиля́лось
Past PL,умиля́лись
Imp S,умиля́йся
Imp PL,умиля́йтесь
