Infinitive,умолча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,умолча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умолча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,умолча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,умолчу́
2nd Sing,умолчи́шь
3rd Sing,умолчи́т
1st Pl,умолчи́м
2nd Pl,умолчи́те
3rd Pl,умолча́т
Past M,умолча́л
Past F,умолча́ла
Past N,умолча́ло
Past PL,умолча́ли
Imp S,умолчи́
Imp PL,умолчи́те
