Infinitive,умеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умеща́юсь
2nd Sing,умеща́ешься
3rd Sing,умеща́ется
1st Pl,умеща́емся
2nd Pl,умеща́етесь
3rd Pl,умеща́ются
Past M,умеща́лся
Past F,умеща́лась
Past N,умеща́лось
Past PL,умеща́лись
Imp S,умеща́йся
Imp PL,умеща́йтесь
