Infinitive,умы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,умы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,умы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умо́ю
2nd Sing,умо́ешь
3rd Sing,умо́ет
1st Pl,умо́ем
2nd Pl,умо́ете
3rd Pl,умо́ют
Past M,умы́л
Past F,умы́ла
Past N,умы́ло
Past PL,умы́ли
Imp S,умо́й
Imp PL,умо́йте
