Infinitive,умча́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,умчу́сь
2nd Sing,умчи́шься
3rd Sing,умчи́тся
1st Pl,умчи́мся
2nd Pl,умчи́тесь
3rd Pl,умча́тся
Past M,умча́лся
Past F,умча́лась
Past N,умча́лось
Past PL,умча́лись
Imp S,умчи́сь
Imp PL,умчи́тесь
