Infinitive,умо́лкнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,умо́лкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,умо́лкнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умо́лкнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,умо́лкши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умо́лкну
2nd Sing,умо́лкнешь
3rd Sing,умо́лкнет
1st Pl,умо́лкнем
2nd Pl,умо́лкнете
3rd Pl,умо́лкнут
Past M,умо́лк
Past F,умо́лкла
Past N,умо́лкло
Past PL,умо́лкли
Imp S,умо́лкни
Imp PL,умо́лкните
