Infinitive,умудри́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умудри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,умудри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,умудрю́сь
2nd Sing,умудри́шься
3rd Sing,умудри́тся
1st Pl,умудри́мся
2nd Pl,умудри́тесь
3rd Pl,умудря́тся
Past M,умудри́лся
Past F,умудри́лась
Past N,умудри́лось
Past PL,умудри́лись
Imp S,умудри́сь
Imp PL,умудри́тесь
