Infinitive,умыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,умыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,умыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,умыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,умыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,умыва́юсь
2nd Sing,умыва́ешься
3rd Sing,умыва́ется
1st Pl,умыва́емся
2nd Pl,умыва́етесь
3rd Pl,умыва́ются
Past M,умыва́лся
Past F,умыва́лась
Past N,умыва́лось
Past PL,умыва́лись
Imp S,умыва́йся
Imp PL,умыва́йтесь
